FISHID	FAMILY	SIRE	DAM	SEX	LICE	WEIGHT	LENGHT
B322_0563	FZ156	L2M20152	L2F20884	0	33	2.053078443	2.342422681
B322_0589	BJ036	L2M20249	L2F21322	1	16	2.012837225	2.307496038
B322_0609	AR018	L2M20231	L2F21569	1	21	2	2.322219295
B322_0640	FW153	L2M20249	L2F21328	0	26	2.281033367	2.397940009
B322_0663	AV022	L2M20232	L2F22218	1	17	2.113943352	2.367355921
B322_0706	BH034	L2M20195	L2F21039	0	17	1.84509804	2.269512944
B322_0409	CF058	L2M20231	L2F22403	1	41	1.973127854	2.31386722
B322_0437	DG085	L2M20325	L2F22572	0	20	1.880813592	2.281033367
B322_0506	EK115	L2M20182	L2F21107	0	41	2.120573931	2.367355921
B322_0529	BH034	L2M20195	L2F21039	0	26	2.004321374	2.326335861
B322_0544	DG085	L2M20325	L2F22572	1	31	1.897627091	2.281033367
B322_0566	CF058	L2M20231	L2F22403	1	52	2.064457989	2.350248018
B322_0594	FW153	L2M20249	L2F21328	1	18	1.982271233	2.301029996
B322_0611	GX180	L2M20271	L2F21995	0	18	2.08278537	2.342422681
B322_0642	FW153	L2M20249	L2F21328	1	31	2.1430148	2.367355921
B322_0688	DG085	L2M20325	L2F22572	0	23	1.897627091	2.281033367
B322_0710	DU099	L2M20271	L2F21932	1	14	2.06069784	2.350248018
B322_0411	AA001	L2M20222	L2F22901	1	20	2.127104798	2.36361198
B322_0442	DG085	L2M20325	L2F22572	1	28	1.963787827	2.31386722
B322_0485	BH034	L2M20195	L2F21039	0	28	2.037426498	2.320146286
B322_0532	AA001	L2M20222	L2F22901	1	24	2.075546961	2.346352974
B322_0547	GX180	L2M20271	L2F21995	1	17	2.053078443	2.330413773
B322_0571	DG085	L2M20325	L2F22572	1	47	1.857332496	2.274157849
B322_0595	FW153	L2M20249	L2F21328	1	22	2.075546961	2.336459734
B322_0614	DH086	L2M20039	L2F20534	0	7	2.012837225	2.330413773
B322_0644	FW153	L2M20249	L2F21328	1	27	2.089905111	2.352182518
B322_0695	AV022	L2M20232	L2F22218	1	49	2.127104798	2.359835482
B322_0711	AA001	L2M20222	L2F22901	1	13	1.995635195	2.324282455
B322_0412	DG085	L2M20325	L2F22572	0	24	1.934498451	2.309630167
B322_0443	CF058	L2M20231	L2F22403	1	18	1.919078092	2.29666519
B322_0486	AV022	L2M20232	L2F22218	0	25	2.089905111	2.344392274
B322_0509	DH086	L2M20039	L2F20534	1	7	2.017033339	2.334453751
B322_0535	ET124	L2M20220	L2F22410	0	31	2.1430148	2.354108439
B322_0548	CF058	L2M20231	L2F22403	0	20	1.939519253	2.29666519
B322_0576	CF058	L2M20231	L2F22403	0	24	2.012837225	2.324282455
B322_0596	DG085	L2M20325	L2F22572	0	29	1.799340549	2.257678575
B322_0619	AA001	L2M20222	L2F22901	0	41	2.071882007	2.348304863
B322_0645	FA131	L2M20241	L2F22141	0	22	2.053078443	2.336459734
B322_0697	EK115	L2M20182	L2F21107	1	16	2.06069784	2.344392274
B322_0715	CK063	L2M20382	L2F24282	0	29	2.049218023	2.328379603
B322_0417	GZ182	L1M10002	L2F23521	1	24	1.968482949	2.28780173
B322_0444	GZ182	L1M10002	L2F23521	1	27	1.982271233	2.298853076
B322_0492	DM091	L2M20222	L2F21637	0	51	2.06069784	2.322219295
B322_0513	BJ036	L2M20249	L2F21322	1	27	2.130333768	2.361727836
B322_0536	GZ182	L1M10002	L2F23521	0	34	1.924279286	2.283301229
B322_0549	FW153	L2M20249	L2F21328	1	40	2.123851641	2.365487985
B322_0581	AA001	L2M20222	L2F22901	1	29	2.037426498	2.338456494
B322_0598	DU099	L2M20271	L2F21932	1	30	1.919078092	2.292256071
B322_0621	GX180	L2M20271	L2F21995	1	21	1.968482949	2.303196057
B322_0652	DM091	L2M20222	L2F21637	0	21	2.008600172	2.309630167
B322_0698	BH034	L2M20195	L2F21039	1	36	1.977723605	2.311753861
B322_0716	DU099	L2M20271	L2F21932	1	18	1.959041392	2.290034611
B322_0421	AA001	L2M20222	L2F22901	1	27	1.986771734	2.315970345
B322_0448	EK115	L2M20182	L2F21107	1	30	2.033423755	2.320146286
B322_0498	GX180	L2M20271	L2F21995	1	15	1.986771734	2.324282455
B322_0514	AV022	L2M20232	L2F22218	0	25	2.049218023	2.330413773
B322_0537	DU099	L2M20271	L2F21932	1	10	1.991226076	2.326335861
B322_0553	ET124	L2M20220	L2F22410	0	25	2.222716471	2.389166084
B322_0584	DU099	L2M20271	L2F21932	0	19	2.056904851	2.342422681
B322_0599	CF058	L2M20231	L2F22403	0	43	2.079181246	2.344392274
B322_0624	CK063	L2M20382	L2F24282	1	50	2.117271296	2.372912003
B322_0655	DH086	L2M20039	L2F20534	1	30	2.049218023	2.338456494
B322_0700	DJ088	L2M20152	L2F21256	1	36	2.136720567	2.36361198
B322_0721	BH034	L2M20195	L2F21039	0	1	1.959041392	2.31386722
B322_0422	GZ182	L1M10002	L2F23521	1	41	2.029383778	2.31386722
B322_0454	DM091	L2M20222	L2F21637	1	17	2.029383778	2.33243846
B322_0499	DG085	L2M20325	L2F22572	0	24	1.919078092	2.28780173
B322_0519	AR018	L2M20231	L2F21569	0	17	2.045322979	2.33243846
B322_0539	FZ156	L2M20152	L2F20884	0	15	2.089905111	2.328379603
B322_0556	AV022	L2M20232	L2F22218	1	28	2.123851641	2.350248018
B322_0586	FZ156	L2M20152	L2F20884	1	11	2.100370545	2.356025857
B322_0606	FZ156	L2M20152	L2F20884	1	27	2.06069784	2.344392274
B322_0626	ET124	L2M20220	L2F22410	0	15	2.037426498	2.324282455
B322_0656	DG085	L2M20325	L2F22572	1	18	1.84509804	2.278753601
B322_0702	ET124	L2M20220	L2F22410	1	22	2.041392685	2.33243846
B322_0725	FA131	L2M20241	L2F22141	0	1	2.155336037	2.369215857
