FISHID	FAMILY	SIRE	DAM	SEX	LICE	WEIGHT	LENGHT
B322_0573	CQ069	L2M20288	L2F22496	1	63	2.155336037	2.378397901
B322_0568	FN144	L2M20327	L2F23443	1	15	2.11058971	2.344392274
B322_0545	GT176	L2M20325	L2F22608	0	55	2.206825876	2.394451681
B322_0600	CS071	L2M20285	L2F22476	1	23	2.071882007	2.344392274
B322_0132	GR174	L2M20327	L2F23481	1	22	2.071882007	2.342422681
B322_0133	CI061	L2M20195	L2F21010	0	26	2.045322979	2.338456494
B322_0005	AT020	L2M20171	L2F21741	0	50	2.100370545	2.361727836
B322_0280	FL142	L2M20261	L2F23414	1	25	2.173186268	2.374748346
B322_0579	AT020	L2M20171	L2F21741	1	32	2.068185862	2.342422681
B322_0565	EL116	L1M10002	L2F23517	0	37	2.079181246	2.346352974
B322_0560	DD082	L2M20261	L2F22907	0	27	2.136720567	2.369215857
B322_0515	FL142	L2M20261	L2F23414	1	20	2.117271296	2.350248018
B322_0541	GY181	L2M20220	L2F22306	0	27	2.086359831	2.334453751
B322_0592	CW075	L2M20241	L2F21811	1	25	2.017033339	2.31386722
B322_0130	FO145	L2M20255	L2F22374	0	29	2.008600172	2.318063335
B322_0107	HB184	L2M20300	L2F22827	0	25	2.075546961	2.340444115
B322_0195	HB184	L2M20300	L2F22827	0	41	2.021189299	2.326335861
B322_0006	BS045	L2M20308	L2F22750	0	7	2.008600172	2.322219295
B322_0281	DR096	L2M20275	L2F22528	0	10	2.068185862	2.322219295
B322_0577	CT072	L2M20232	L2F22244	1	23	2.017033339	2.309630167
B322_0569	HP198	L2M20172	L2F21075	0	26	2.158362492	2.36361198
B322_0554	CW075	L2M20241	L2F21811	1	7	2.045322979	2.328379603
B322_0511	CQ069	L2M20288	L2F22496	0	20	2.086359831	2.334453751
B322_0516	HN196	L2M20360	L2F23949	0	23	2.130333768	2.36361198
B322_0533	AP016	L2M20379	L2F24287	1	44	1.995635195	2.326335861
B322_0593	EM117	L2M20125	L2F20598	1	16	2.075546961	2.340444115
B322_0129	DZ104	L2M20379	L2F24288	1	17	1.977723605	2.303196057
B322_0103	GR174	L2M20327	L2F23481	0	17	1.924279286	2.278753601
B322_0193	AZ026	L2M20255	L2F23226	0	20	2.06069784	2.336459734
B322_0105	EY129	L2M20276	L2F22429	0	34	2.120573931	2.367355921
B322_0282	BS045	L2M20308	L2F22750	0	18	2.08278537	2.36361198
B322_0591	AQ017	L2M20300	L2F22809	1	42	2.079181246	2.350248018
B322_0572	DO093	L2M20111	L2F21054	0	35	2.08278537	2.338456494
B322_0574	FN144	L2M20327	L2F23443	0	25	2.158362492	2.357934847
B322_0524	GY181	L2M20220	L2F22306	1	23	2	2.303196057
B322_0512	EL116	L1M10002	L2F23517	0	29	2.064457989	2.357934847
B322_0540	CI061	L2M20195	L2F21010	0	15	1.977723605	2.31386722
B322_0597	HB184	L2M20300	L2F22827	0	26	1.991226076	2.309630167
B322_0139	AQ017	L2M20300	L2F22809	0	15	2.029383778	2.324282455
B322_0101	CE057	L2M20039	L2F20682	0	7	1.991226076	2.311753861
B322_0200	FB132	L2M20111	L2F20671	0	19	2.004321374	2.31386722
B322_0116	CI061	L2M20195	L2F21010	1	24	1.913813852	2.290034611
B322_0283	CW075	L2M20241	L2F21811	1	15	2.049218023	2.340444115
B322_0590	HN196	L2M20360	L2F23949	0	36	2.133538908	2.36361198
B322_0564	CI061	L2M20195	L2F21010	0	19	2.025305865	2.340444115
B322_0567	AT020	L2M20171	L2F21741	0	18	1.880813592	2.290034611
B322_0518	DI087	L2M20257	L2F22055	1	16	2.037426498	2.330413773
B322_0520	HC185	L2M20382	L2F24283	1	21	2.029383778	2.338456494
B322_0552	DO093	L2M20111	L2F21054	1	18	1.892094603	2.283301229
B322_0143	ER122	L2M20172	L2F21005	0	17	2.037426498	2.328379603
B322_0131	DI087	L2M20257	L2F22055	0	58	2.012837225	2.330413773
B322_0108	AZ026	L2M20255	L2F23226	0	21	1.908485019	2.281033367
B322_0001	HA183	L2M20276	L2F22157	1	13	2	2.322219295
B322_0141	GR174	L2M20327	L2F23481	0	21	2.056904851	2.326335861
B322_0285	EX128	L2M20275	L2F22142	1	25	2.056904851	2.326335861
B322_0583	FN144	L2M20327	L2F23443	1	21	1.949390007	2.303196057
B322_0561	FN144	L2M20327	L2F23443	1	14	2.10720997	2.344392274
B322_0559	BS045	L2M20308	L2F22750	1	27	2.056904851	2.350248018
B322_0528	AQ017	L2M20300	L2F22809	0	53	2.096910013	2.344392274
B322_0505	BS045	L2M20308	L2F22750	1	17	2.033423755	2.338456494
B322_0517	HA183	L2M20276	L2F22157	0	25	2.045322979	2.338456494
B322_0121	GR174	L2M20327	L2F23481	1	19	1.897627091	2.278753601
B322_0127	EY129	L2M20276	L2F22429	1	18	1.806179974	2.245512668
B322_0115	CT072	L2M20232	L2F22244	1	19	2.120573931	2.354108439
B322_0145	CI061	L2M20195	L2F21010	0	38	2.086359831	2.357934847
B322_0286	CT072	L2M20232	L2F22244	1	17	2.204119983	2.374748346
B322_0585	CQ069	L2M20288	L2F22496	1	35	2.100370545	2.344392274
B322_0562	FJ140	L2M20171	L2F21694	1	18	2.041392685	2.336459734
B322_0555	ER122	L2M20172	L2F21005	0	44	2.049218023	2.315970345
B322_0525	GT176	L2M20325	L2F22608	1	29	2.008600172	2.326335861
B322_0530	CI061	L2M20195	L2F21010	1	21	2.068185862	2.338456494
B322_0523	GT176	L2M20325	L2F22608	0	17	2.08278537	2.350248018
B322_0144	FL142	L2M20261	L2F23414	1	57	2.230448921	2.389166084
B322_0122	HL194	L2M20360	L2F24065	1	11	2.045322979	2.330413773
B322_0199	DI087	L2M20257	L2F22055	1	27	1.954242509	2.303196057
B322_0148	DD082	L2M20261	L2F22907	0	26	2.167317335	2.378397901
B322_0287	HN196	L2M20360	L2F23949	0	17	2.103803721	2.356025857
B322_0582	FB132	L2M20111	L2F20671	1	35	2.025305865	2.324282455
B322_0575	HA183	L2M20276	L2F22157	0	49	2.06069784	2.344392274
B322_0558	DD082	L2M20261	L2F22907	1	19	1.913813852	2.281033367
B322_0521	CD056	L2M20288	L2F22514	1	19	2.11058971	2.344392274
B322_0538	EM117	L2M20125	L2F20598	1	15	1.903089987	2.290034611
B322_0136	CI061	L2M20195	L2F21010	1	43	2.164352856	2.374748346
B322_0123	CE057	L2M20039	L2F20682	1	9	1.968482949	2.305351369
B322_0198	HN196	L2M20360	L2F23949	1	21	2.146128036	2.376576957
B322_0004	AP016	L2M20379	L2F24287	1	29	2.117271296	2.352182518
B322_0151	HR200	L2M20182	L2F20756	0	57	2.071882007	2.342422681
B322_0152	FB132	L2M20111	L2F20671	1	40	1.86332286	2.278753601
B322_0165	FN144	L2M20327	L2F23443	1	30	1.913813852	2.292256071
B322_0174	HN196	L2M20360	L2F23949	0	13	2.075546961	2.350248018
B322_0028	GT176	L2M20325	L2F22608	1	19	2.025305865	2.334453751
B322_0035	DD082	L2M20261	L2F22907	1	31	2.075546961	2.330413773
B322_0040	DI087	L2M20257	L2F22055	0	44	2.220108088	2.397940009
B322_0094	HA183	L2M20276	L2F22157	0	29	2.149219113	2.372912003
B322_0017	FL142	L2M20261	L2F23414	0	21	2.033423755	2.326335861
B322_0055	AT020	L2M20171	L2F21741	1	14	2.113943352	2.354108439
B322_0082	HR200	L2M20182	L2F20756	0	38	1.944482672	2.307496038
B322_0153	CE057	L2M20039	L2F20682	1	13	2.079181246	2.340444115
B322_0166	EL116	L1M10002	L2F23517	1	32	2.068185862	2.350248018
B322_0175	FN144	L2M20327	L2F23443	1	23	1.799340549	2.240549248
B322_0025	DD082	L2M20261	L2F22907	1	31	1.986771734	2.301029996
B322_0038	CE057	L2M20039	L2F20682	0	4	1.919078092	2.290034611
B322_0071	CW075	L2M20241	L2F21811	1	28	2.136720567	2.361727836
B322_0007	HL194	L2M20360	L2F24065	0	16	2.100370545	2.340444115
B322_0018	AQ017	L2M20300	L2F22809	0	26	2	2.324282455
B322_0057	FN144	L2M20327	L2F23443	0	10	2.209515015	2.382017043
B322_0087	EY129	L2M20276	L2F22429	0	9	1.986771734	2.318063335
B322_0168	FU151	L2M20308	L2F22756	0	13	2.064457989	2.340444115
B322_0178	FN144	L2M20327	L2F23443	0	14	2.045322979	2.311753861
B322_0026	AT020	L2M20171	L2F21741	1	30	2.045322979	2.322219295
B322_0037	AP016	L2M20379	L2F24287	1	39	2.017033339	2.31386722
B322_0100	AZ026	L2M20255	L2F23226	0	18	1.832508913	2.269512944
