FISHID	SIRE	DAM	SEX
B322_0596	L2M20325	L2F22572	0
B322_0619	L2M20222	L2F22901	0
B322_0645	L2M20241	L2F22141	0
B322_0697	L2M20182	L2F21107	1
B322_0715	L2M20382	L2F24282	0
B322_0417	L1M10002	L2F23521	1
B322_0444	L1M10002	L2F23521	1
B322_0492	L2M20222	L2F21637	0
B322_0513	L2M20249	L2F21322	1
B322_0536	L1M10002	L2F23521	0
B322_0549	L2M20249	L2F21328	1
B322_0581	L2M20222	L2F22901	1
B322_0598	L2M20271	L2F21932	1
B322_0621	L2M20271	L2F21995	1
B322_0652	L2M20222	L2F21637	0
B322_0698	L2M20195	L2F21039	1
B322_0716	L2M20271	L2F21932	1
B322_0421	L2M20222	L2F22901	1
B322_0448	L2M20182	L2F21107	1
B322_0498	L2M20271	L2F21995	1
B322_0514	L2M20232	L2F22218	0
B322_0537	L2M20271	L2F21932	1
B322_0553	L2M20220	L2F22410	0
B322_0584	L2M20271	L2F21932	0
B322_0599	L2M20231	L2F22403	0
B322_0624	L2M20382	L2F24282	1
B322_0655	L2M20039	L2F20534	1
B322_0700	L2M20152	L2F21256	1
B322_0721	L2M20195	L2F21039	0
B322_0422	L1M10002	L2F23521	1
B322_0454	L2M20222	L2F21637	1
B322_0499	L2M20325	L2F22572	0
B322_0519	L2M20231	L2F21569	0
B322_0539	L2M20152	L2F20884	0
B322_0556	L2M20232	L2F22218	1
B322_0586	L2M20152	L2F20884	1
B322_0606	L2M20152	L2F20884	1
B322_0626	L2M20220	L2F22410	0
B322_0656	L2M20325	L2F22572	1
B322_0702	L2M20220	L2F22410	1
B322_0725	L2M20241	L2F22141	0
