Ind	Years	Lots	F.Weight	Hue.g	Ethylene	RI	TA	Glucose	Fructose	Sucrose	Citric.A.	Malic.A.
GoMo-B039	2006	2	60.1	76.79	7.37	16.3	20	1.82	0.67	7.96	19.2	7.74
GoMo-B039	2006	3	61.1	79.54	6.73	14.6	20.83	1.54	0.56	7.28	19.67	7.04
GoMo-B041	2006	1	68.7	78.58	2.77	14.6	14.07	1.94	0.52	6.82	15.36	6.46
GoMo-B041	2006	2	78	78	2.77	14.1	14.53	1.66	0.51	6.83	16.19	6.42
GoMo-B041	2006	3	74.6	77.61	4.06	14.5	13.82	1.89	0.55	7.59	14.59	6.23
GoMo-B042	2006	1	50.2	85.29	4.44	13.1	19.09	1.81	1.04	6.1	17.19	7.78
GoMo-B042	2006	2	53.3	80.13	4.64	14.6	17.29	1.83	1.09	7.29	14.59	7.41
GoMo-B042	2006	3	53.7	76.96	5.4	14.5	16.81	1.59	0.97	6.62	13.31	7.39
GoMo-B043	2006	1	54.7	77.13	3.47	13	26.76	1.36	0.87	4.74	24.81	9.54
GoMo-B043	2006	2	46.2	72.75	7.65	17	21.75	1.98	1.16	7.42	20.71	8.86
GoMo-B043	2006	3	55.2	70.48	8.35	17.1	20.94	1.81	1.06	7.77	19.67	7.75
GoMo-B044	2006	1	81.7	76.72	4.52	14.5	25.03	1.45	0.66	5.31	23.59	7.9
GoMo-B044	2006	2	79.2	74.84	4.88	13.1	21.4	1.57	0.66	6.18	21.1	7.3
GoMo-B044	2006	3	70.8	72.66	6.09	12.7	22.41	1.44	0.59	6.04	22.02	7.59
GoMo-B045	2006	1	57.6	91.79	3.09	16	21.83	2.19	0.72	6.33	24.25	7.72
GoMo-B045	2006	2	63.9	86.4	4.45	16.1	22.76	1.98	0.77	6.97	23.54	8.28
GoMo-B045	2006	3	69.9	90.32	6.14	16.8	18.7	1.98	0.73	9.01	19.36	7.51
GoMo-C001	2006	1	44.9	78.69	7.14	16.3	30.92	1.31	0.87	6.21	24.07	8.02
GoMo-C001	2006	2	31.5	72.08	7.89	13.6	30.08	1.7	0.91	6.28	18.2	7.07
GoMo-C001	2006	3	39.1	70.14	8.67	18.9	25.42	1.6	0.96	8.72	23.75	7.96
GoMo-C002	2006	1	51.5	69.39	3.14	13.9	18.76	2.05	1.21	5.65	15.46	6
GoMo-C002	2006	2	49	68.73	2.71	14.5	20.32	1.87	1.19	4.66	14.66	5.51
GoMo-C002	2006	3	55.6	67.32	4.25	15.4	19.37	2.01	1.18	4.08	11.76	5.31
GoMo-C003	2006	1	63.4	82.83	6.83	15.8	28.08	1.61	0.95	6.97	28.44	7.3
GoMo-C003	2006	2	60	78.31	7.78	17.4	27.84	2.12	1.26	8.5	29.82	7.85
GoMo-C003	2006	3	55	77.98	8.34	18.2	27.78	1.95	1.2	10.02	29.91	7.87
GoMo-C006	2006	1	58.3	70.46	3.81	15.1	24.65	1.74	0.86	5.55	23.92	7.03
GoMo-C006	2006	2	62.1	68.97	4.54	14.7	24.24	1.73	0.84	5.68	23.18	6.5
GoMo-C006	2006	3	73.8	69.35	7.64	17.6	25.12	1.95	0.91	7.78	19.74	7.07
GoMo-C007	2006	1	71.1	72.31	3.18	11.2	26.94	1.48	0.62	5.05	24.32	7.65
GoMo-C007	2006	2	67.8	69.04	4.41	12.1	29.09	1.79	0.76	6.1	27.27	8.78
GoMo-C007	2006	3	82.5	69.35	4.89	13.1	27.2	1.78	0.74	6.79	26.5	7.65
GoMo-C009	2006	1	81.8	86.37	3.87	12.2	23.41	1.87	0.52	6.36	25.62	5.67
GoMo-C009	2006	2	71.2	85.2	5.32	13.3	22.16	1.62	0.5	6.22	21.87	4.77
GoMo-C009	2006	3	80.5	81.83	7.19	13.2	19.52	1.66	0.49	6.95	19.19	5.24
GoMo-C010	2006	1	51.9	91.52	6.08	17.3	22	2.33	0.97	5.8	20.79	9.19
GoMo-C010	2006	2	56.5	87.06	7.05	17.2	20.67	2.08	1	7.11	18.65	8.76
GoMo-C010	2006	3	56.9	86.81	8.26	18.8	19.21	2.1	1	8.12	18.75	8.96
GoMo-C011	2006	1	36.6	81.25	7.73	14.1	24.65	1.62	0.68	5.79	26.92	5.49
GoMo-C011	2006	2	39.7	74.19	8.69	13.9	21.06	1.67	0.64	6.69	22.45	5.88
GoMo-C011	2006	3	38.4	71.74	9.08	14.5	19.91	1.69	0.7	7.31	21.48	6.07
GoMo-C012	2006	1	43	69.68	3.33	11.2	20.7	1.83	0.98	4.4	18.9	7.86
GoMo-C012	2006	2	44.2	69.17	4.45	12.8	17.68	2.18	1.11	5.46	15.49	8.28
GoMo-C012	2006	3	40.8	67.66	4.98	13.9	18.5	2.23	1.22	5.82	15.61	8.48
GoMo-C014	2006	1	71	73.35	4.56	13.6	18.83	1.77	0.81	4.99	16.88	8.5
GoMo-C014	2006	2	63.7	70.55	4.51	13.8	18.63	2.12	0.97	6.39	18.05	7.73
GoMo-C014	2006	3	67.5	69.64	6.87	16.9	16.58	2.29	1.07	8.6	14.3	8.61
GoMo-C016	2006	1	48.3	76.59	8.15	12.8	27.19	1.63	0.87	5.03	25.37	8.57
GoMo-C016	2006	2	42	81.24	8.06	11.9	23.16	1.25	0.5	5.83	24.3	5.65
GoMo-C016	2006	3	48.9	77.77	8.43	12.3	22.12	1.19	0.45	5.47	21.72	5.63
GoMo-C017	2006	1	66.8	72.45	3.56	13.3	24.49	1.24	0.64	6.45	21.99	8.58
GoMo-C017	2006	2	86.1	70.98	5.02	11.9	27.39	1.24	0.67	5.23	23.25	9.18
GoMo-C017	2006	3	76.6	68.57	7.19	12.8	22.44	1.25	0.61	7.13	21.47	8.5
GoMo-C018	2006	1	76.2	95.5	3.37	10.7	31.02	1.53	0.54	4.37	21.66	11.82
GoMo-C018	2006	2	89.4	89.52	4.85	11.3	25.5	1.67	0.57	4.79	19.04	10.74
GoMo-C018	2006	3	89.2	84.8	7.54	10.9	21.7	1.86	0.66	6.27	17.65	8.87
GoMo-C020	2006	1	55	72.67	3.76	13.1	16.98	1.46	0.54	5.75	15.85	8.45
GoMo-C020	2006	2	56.2	68.77	7.13	14.2	15.8	1.67	0.57	7.47	13.06	8.61
GoMo-C020	2006	3	48.3	67.79	7.67	14.9	13.8	1.61	0.57	7.3	11.47	7.7
GoMo-C023	2006	1	40.9	92.8	8.6	9.6	35.41	1.06	0.58	3.71	23.43	6.28
GoMo-C023	2006	2	47.2	84.2	9.2	13.1	38.09	1.24	0.73	5.36	36.88	6.97
GoMo-C023	2006	3	47.8	80.43	9.13	14.1	32.21	1.31	0.67	6.49	30.3	6.2
GoMo-C024	2006	1	46.8	77.9	3.14	13.9	24.78	1.32	0.59	6	21.1	10.81
GoMo-C024	2006	2	49.6	71.59	4.25	13.5	22.5	1.38	0.64	8.08	18.13	10.27
GoMo-C024	2006	3	47.1	68.62	5.45	15.8	22.89	1.38	0.73	9.03	20.94	9.55
GoMo-C025	2006	1	48.1	86.55	3.66	14.8	20.64	2.05	1.09	6.61	14.5	9.13
GoMo-C025	2006	2	55.6	81.07	4.48	15.2	20.59	1.97	1.18	7.54	17.57	11.19
GoMo-C025	2006	3	50.3	79.57	5.94	16	20.3	1.98	1.13	7.93	17.81	10.15
GoMo-C026	2006	1	54.3	71.86	7.03	12.6	25.65	1.41	0.51	7.86	24.34	8.5
GoMo-C026	2006	2	55.5	71.24	7.91	14.1	26.19	1.4	0.93	6.66	22.69	7.8
GoMo-C026	2006	3	68.1	68.57	8.48	14.4	24.24	1.29	0.45	8.18	22.36	7.59
GoMo-C027	2006	1	78.3	81.36	4.14	12.3	20.73	1.59	0.45	5.09	19.54	6.44
GoMo-C027	2006	2	73.2	80.25	4.58	11.2	19.49	1.84	0.52	5.98	21.5	7.04
GoMo-C027	2006	3	69.4	79.26	5.96	13	18.76	1.8	0.49	6.58	19.51	6.77
GoMo-C030	2006	1	61.1	66.55	3	17.5	21.69	1.76	0.77	5.87	20.71	7.97
GoMo-C030	2006	2	60.6	70.2	4.8	18	22.92	1.39	0.72	5.6	23.82	8.57
GoMo-C030	2006	3	52.2	68.2	6.51	18.4	24.84	1.16	0.64	5.9	24.04	8.24
GoMo-C031	2006	1	65	85.61	7.33	12.3	21.53	1.37	0.65	5.42	19.86	6.52
GoMo-C031	2006	2	63.3	81.05	7.61	12.5	15.47	1.47	0.67	6.68	14.96	5.95
GoMo-C031	2006	3	61.8	80.59	8.33	13.4	16.25	1.68	0.67	6.72	15.15	6.5
GoMo-C035	2006	1	61.9	89.2	3.14	12.3	19.96	1.81	0.77	6.01	16.38	8.86
GoMo-C035	2006	2	58.2	84.34	3.56	14	14.49	2.16	0.92	7.12	13.33	8.59
GoMo-C035	2006	3	63.2	81.96	3.91	13.7	13.59	2.24	0.97	8.26	13.67	7.42
GoMo-C036	2006	1	76.6	84.84	3.18	11.7	20.03	1.52	0.85	5.6	17.48	8.65
GoMo-C036	2006	2	84	82.07	6.1	11.1	22.03	1.29	0.69	5.92	19.16	7.38
GoMo-C036	2006	3	89	80.02	7.28	12.3	19.34	1.36	0.82	6.81	17.26	7.52
GoMo-C037	2006	1	53.4	76.86	3.43	12.7	21.83	1.44	0.8	5.44	22.7	6.87
GoMo-C037	2006	2	56.6	76.52	5.09	13.9	22.67	1.62	0.83	5.3	18.01	6.05
GoMo-C037	2006	3	62.3	79.62	6.46	14.5	21.59	1.36	0.74	6.48	18.81	7.04
GoMo-C041	2006	1	65.9	81.96	6.94	12.1	26.71	1.64	0.59	5.41	24.57	6.63
GoMo-C041	2006	2	71.7	78.69	8.05	13.1	28.89	1.39	0.6	5.7	24.81	7.15
GoMo-C041	2006	3	62.5	79.68	8.43	14.5	23.31	1.85	0.68	7.33	21.98	7.15
GoMo-C042	2006	1	66.1	91.92	3.26	12.9	15.1	1.39	0.79	5.8	13.34	8.67
GoMo-C042	2006	2	69.4	89.91	5.58	13.2	14.54	1.36	0.7	6.23	13.98	7.84
GoMo-C042	2006	3	68.2	86.34	7.95	13.8	14.24	1.36	0.76	7.36	13.4	6.98
GoMo-C048	2006	1	52.8	75.76	4.03	12.5	28.34	1.39	0.8	6.62	20.85	13.97
GoMo-C048	2006	2	54.7	73.8	5.3	14.2	28.4	1.36	0.81	7.13	19.49	13.6
GoMo-C048	2006	3	54.5	72.06	6.08	14.7	26.28	1.36	0.84	8.21	19.45	13.57
GoMo-C049	2006	1	60	81.06	4.8	10.8	26.03	1.62	0.71	4.43	24.86	5.5
GoMo-C049	2006	2	60.1	76.33	7.6	11.9	22.11	1.81	0.67	5.14	28.21	6
GoMo-C049	2006	3	60.9	75.98	7.94	11.8	22.67	1.58	0.64	5.44	20.07	5.31
GoMo-C050	2006	1	55.1	76.92	8.54	12.2	24.89	1.91	0.83	4.81	17.07	5.78
GoMo-C050	2006	2	59.8	79.76	8.46	11.7	24.83	1.72	0.64	4.65	20.4	5.54
GoMo-C050	2006	3	56.7	70.42	9.25	12.7	21.41	1.9	0.86	8.39	19.45	5.75
GoMo-C052	2006	1	53.6	76.96	2.2	11.2	33.57	0.96	0.27	5.17	27.57	6.73
GoMo-C052	2006	2	48.6	71.39	2.2	12.6	28.99	1.09	0.35	5.86	29.23	6.53
GoMo-C052	2006	3	54.1	70.83	4.11	13.8	26.6	1.11	0.3	7.04	25.63	7.08
GoMo-C053	2006	1	63.8	86.48	3.66	12.1	25.97	1.86	0.97	5.38	23.27	8.3
GoMo-C053	2006	2	55.8	86.99	3.71	12.8	24.22	1.97	1.06	5.42	22.43	8.51
GoMo-C053	2006	3	65.1	80.25	5	14.1	23.71	1.91	0.98	6.6	21.1	8.18
GoMo-C056	2006	1	70.4	79.26	3.76	13.9	19.09	1.72	0.8	6.25	18.33	6.22
GoMo-C056	2006	2	52.3	76.19	5.74	14.2	18.17	1.61	0.7	6.87	15.96	7.16
GoMo-C056	2006	3	53.3	78.49	7	15.9	19.46	1.57	0.71	7.41	17.59	6.24
GoMo-C060	2006	1	69.3	70.93	6.33	13.8	29.84	1.42	0.5	5.36	28.35	6.19
GoMo-C060	2006	2	69.4	73.55	6.74	15	29.09	1.71	0.72	5.94	30.58	4.98
GoMo-C060	2006	3	68.7	72.11	7.1	15.1	28.44	1.89	0.62	6.43	25.79	5.01
GoMo-C061	2006	1	46.7	73.65	4.8	14.3	25.33	1.3	0.7	5.29	22.54	5.21
GoMo-C061	2006	2	36.5	74.04	7.49	17.4	23.76	1.58	0.88	8.12	22.19	6.94
GoMo-C061	2006	3	56.3	74.83	8.48	16.5	22.48	1.16	0.82	7.88	18.71	5.31
GoMo-C062	2006	1	47.5	81.13	3.64	13.9	24.51	1.36	0.59	5.84	20.51	7.09
GoMo-C062	2006	2	48.8	79.62	5.72	16.3	21.33	1.53	0.74	6.78	18.71	7.69
GoMo-C062	2006	3	65.9	75.91	4.86	15.9	17.92	1.65	0.71	8.49	13.81	7.92
GoMo-C063	2006	1	63.5	72.75	2.48	15	23.47	1.59	0.6	6.1	25.63	6.87
GoMo-C063	2006	2	54.4	77.35	3.74	14.9	26.33	1.47	0.71	5.91	23.3	7.97
GoMo-C063	2006	3	55	73.35	3.18	15.7	21.24	1.8	0.73	6.75	21.07	8.18
GoMo-C064	2006	1	68.9	75.69	5.01	12.1	25.27	1.45	0.66	4.76	20.71	6.17
GoMo-C064	2006	2	85.5	79.26	4.63	14.1	27.52	1.24	0.57	5.7	26.35	5.33
GoMo-C064	2006	3	94.4	77.84	8.32	14.5	25.53	1.38	0.59	6.73	22.15	5.95
GoMo-C067	2006	1	36.6	79.95	6.76	17.4	32.03	1.73	0.97	6.9	23.05	9
GoMo-C067	2006	2	38.9	84.99	8.25	17	30.75	1.6	1.01	5.67	19.45	8.86
GoMo-C067	2006	3	33.1	84.96	7.86	18.1	32.69	1.42	0.98	6.79	23.13	8.03
GoMo-C069	2006	1	65.9	71.39	4.08	14.5	25.92	1.44	0.62	6.51	21.36	6.46
GoMo-C069	2006	2	57.5	72.12	6.78	15.8	22.11	1.53	0.66	7.4	21.79	7.78
GoMo-C069	2006	3	63	69.04	5.41	15.8	18.99	1.64	0.53	8	17.46	7.34
GoMo-C071	2006	1	55.2	73.71	2.56	13.7	26.75	1.42	0.91	6.44	22.41	11.14
GoMo-C071	2006	2	54.1	71.86	2.94	14.2	23.63	1.65	1.1	6.83	19.98	10.74
GoMo-C071	2006	3	49.5	70.68	3.37	15.2	26.44	1.61	0.99	7.13	21.63	12.06
GoMo-C072	2006	1	50.3	75.86	4.03	14.2	21.71	1.46	0.88	5.45	13.63	6.73
GoMo-C072	2006	2	45.9	74.47	5.82	13	18.96	1.32	0.74	3.93	12	5.85
GoMo-C072	2006	3	43.8	79.56	7.55	14.9	25.38	1.3	0.93	5.62	17.37	7.15
GoMo-C073	2006	1	63.5	87.28	7.14	13.5	22.52	1.53	0.95	6.46	16.56	8.96
GoMo-C073	2006	2	68.7	85.43	7.27	13.2	21.54	1.51	0.87	6.46	15.19	9.11
GoMo-C073	2006	3	51.8	86.83	8.24	13.3	21.69	1.36	1.18	11.83	13.97	6.5
GoMo-C074	2006	1	86.8	77.44	3.26	13.4	26.78	1.23	0.72	5.57	23.34	8.18
GoMo-C074	2006	2	59.5	76.52	6.48	13.5	25.88	1.06	0.99	5.48	24.25	7.82
GoMo-C074	2006	3	92.2	78	8.1	15.9	25.86	0.95	0.75	7.27	23.05	6.59
GoMo-C075	2006	1	44.4	76.06	6.62	13.9	27.18	1.69	0.72	6.73	28.33	7.2
GoMo-C075	2006	2	47.3	76.7	7.13	13.7	26.73	1.55	0.76	7.05	27.32	7.04
GoMo-C075	2006	3	47.4	74.23	8.83	16.5	25.74	1.67	0.72	8.53	26.2	7.15
GoMo-C077	2006	1	62.6	94.16	2.3	15.8	26.38	1.91	1.64	5.49	18.68	5.71
GoMo-C077	2006	2	66.3	82.9	1.95	17.1	24.79	2.4	0.52	6.44	24.11	6.79
GoMo-C077	2006	3	54.4	85.38	5.55	15.5	22.52	2.49	1.21	7.88	16.89	8.96
GoMo-C078	2006	1	49.8	85.34	1.95	14.7	31.73	1.49	0.95	6.62	24.28	11.3
GoMo-C078	2006	2	54.1	82	2.64	15.9	28.75	1.65	0.66	7.85	23.05	10.86
GoMo-C078	2006	3	51.3	82.72	5.98	16.3	30.81	1.19	0.75	4.85	18.27	7.91
GoMo-C080	2006	1	58.7	84.73	4.87	16.4	13.92	1.92	0.84	6.91	14.64	7.63
GoMo-C080	2006	2	68.9	83.84	7.24	17.7	14.69	1.94	0.89	7.93	13.36	6.53
GoMo-C080	2006	3	52.8	84.52	7.13	18.4	15.78	1.9	0.83	7.69	14.94	7.28
GoMo-C081	2006	1	49	82.33	5.98	13.6	28.37	1.29	0.63	6.04	29.4	5.21
GoMo-C081	2006	2	50.4	79.67	6.41	13.5	28.46	1.38	0.71	6.22	30.14	4.99
GoMo-C081	2006	3	47.3	77.35	7.96	13	28.78	1.36	0.73	6.85	30.55	5.49
GoMo-C083	2006	1	37.9	83.84	2.4	16.6	17.74	1.86	0.79	3.99	11.39	7.57
GoMo-C083	2006	2	42.1	81.22	2.56	17.5	16.9	1.16	1.61	4.73	13.9	8.55
GoMo-C083	2006	3	52.9	89.27	2.56	18.1	15.91	1.16	1.75	4.68	16.07	9.15
GoMo-C085	2006	1	50.3	85.75	8.62	12	24.6	1.45	0.39	6.04	24.96	5
GoMo-C085	2006	2	46.2	82.68	9.03	13.4	21.16	1.68	0.46	6.05	23.99	5.22
GoMo-C085	2006	3	47.7	79.54	9.6	12.6	22.17	1.76	0.39	6.59	22.89	5.25
GoMo-C086	2006	1	64.7	83.32	3.76	12.4	32.03	1.45	0.66	6.31	29.19	8.22
GoMo-C086	2006	2	70.3	81.8	5.46	13.7	30.28	1.36	0.66	7.39	27.36	9
GoMo-C086	2006	3	65.9	77.04	7.79	13.5	32.51	1.36	0.68	8.15	29.07	9.83
GoMo-C086	2006	1	64.8	83.9	5.54	12.3	30.63	1.33	0.61	6.35	28.74	7.8
GoMo-C086	2006	2	65.7	80.71	5.55	13.3	29.46	1.28	0.54	6.49	25.81	7.04
GoMo-C086	2006	3	68.9	79.2	6.62	13.6	28.98	1.39	0.61	7.46	25.65	6.87
GoMo-C087	2006	1	64.2	73	6.11	14.7	23.47	1.87	0.75	6.54	26.51	5.36
GoMo-C087	2006	2	54.2	72.8	6.25	13.5	24.13	1.7	0.59	5.91	25.63	4.72
GoMo-C087	2006	3	52.5	69.68	7.75	15.6	23.19	1.73	0.59	6.67	24.39	5.01
GoMo-C089	2006	1	70.4	74.91	4.83	12.5	31.22	1.49	0.71	5.39	29.33	7
GoMo-C089	2006	2	80.6	73.81	5.25	12.2	27.73	1.46	0.72	5.73	26.56	6.49
GoMo-C089	2006	3	81.1	72.38	6.54	15.2	28.54	1.42	0.66	6.67	28.24	6.74
GoMo-C090	2006	1	37.8	82.48	3.43	17.8	22.15	1.99	0.98	8.02	18.2	8.98
GoMo-C090	2006	2	47.9	78	4.74	18.5	24.13	1.94	0.87	9.07	18.13	7.92
GoMo-C090	2006	3	43.7	74.47	5.67	20.6	26.07	2.05	0.99	9.86	24.99	9.13
GoMo-C093	2006	1	50.8	81.75	7.47	16.6	26.71	1.53	0.85	7.69	20.31	8.11
GoMo-C093	2006	2	50.3	79.94	8.05	14.3	26.29	1.47	0.73	7.11	23.24	8.18
GoMo-C093	2006	3	48.3	78.83	8.61	18.5	28.1	1.42	0.82	8.41	23.63	9.21
GoMo-C098	2006	1	46.8	76.59	3.97	13.2	25.33	1.62	0.93	4.66	21.48	7.04
GoMo-C098	2006	2	47.1	72.21	7.12	12.9	23.02	1.57	0.94	5.05	20.3	6.46
GoMo-C098	2006	3	43.7	70.8	7.68	14.3	23.24	1.62	1	6.07	23.23	8.25
GoMo-C099	2006	1	53.9	84.31	2.56	13.8	25.88	1.82	0.88	4.29	21.79	8.21
GoMo-C099	2006	2	59.3	84.5	2.56	14	24.23	1.58	0.71	4.76	20.37	7.55
GoMo-C099	2006	3	60.9	80.72	3.18	14.2	23.89	1.75	0.79	6.09	19.73	8.54
GoMo-C100	2006	1	47.8	85.44	3.09	13.2	22.73	1.41	0.72	5.16	19.13	7.37
GoMo-C100	2006	2	47.5	83.52	6.38	11.6	21.79	1.34	0.72	5.27	17.01	6.8
GoMo-C100	2006	3	54.3	81.53	7	12.7	20.73	1.37	0.72	6.62	15.87	8.03
GoMo-C101	2006	1	55.6	95.11	2.89	13.9	21.5	1.61	0.82	5.58	18.05	6.9
GoMo-C101	2006	2	55.6	89.04	3.3	15.5	16.95	1.54	0.76	7.12	15.31	6.73
GoMo-C101	2006	3	47.6	77.77	3.61	15.4	17.29	2.04	0.86	5.66	14.28	7.46
GoMo-C102	2006	1	60.9	77.11	3.78	11.5	29.2	1.28	0.52	5.31	27.23	6.78
GoMo-C102	2006	2	64.1	71.39	7.06	14.5	26.77	1.41	0.54	6.47	24.07	6.78
GoMo-C102	2006	3	63	72.07	7.48	15.5	26.64	1.45	0.55	7.11	25.56	7.33
GoMo-C103	2006	1	64.2	86.99	5.78	13.2	28.54	1.73	0.87	4.39	22.55	7.23
GoMo-C103	2006	2	51.1	77.9	7.2	13.5	29.44	1.98	1.02	5.13	24.84	9.16
GoMo-C103	2006	3	57.9	83.92	7.2	12.7	23.24	1.71	0.84	3.5	20.9	5.36
GoMo-C105	2006	1	58.6	84.5	4.53	11.9	21.59	1.64	0.77	4.4	16.92	7.97
GoMo-C105	2006	2	65	82.07	4.64	11.9	21.47	1.6	0.56	5.05	18.54	7.51
GoMo-C105	2006	3	70	80.82	5.4	11.7	20.74	1.81	0.66	5.19	18.75	8
GoMo-C106	2006	1	54	70.14	3.76	14.1	18.99	1.82	0.8	5.22	18.07	5.62
GoMo-C106	2006	2	65.4	75.76	6.22	13.8	20.59	1.76	0.78	7	18.13	6.76
GoMo-C106	2006	3	50.8	73.98	6.97	14.4	17.8	1.78	0.84	7.13	18.28	6.59
GoMo-C108	2006	1	66.8	71.4	3.33	14.9	31.33	2	0.98	5.57	30.55	5.84
GoMo-C108	2006	2	64.5	71.09	6.26	15.8	29.87	2.02	1.07	6.46	30.07	5.8
GoMo-C108	2006	3	59.4	71.48	7	14.9	31.87	1.82	0.84	6.42	23.54	5.33
GoMo-C109	2006	1	45.7	77.44	8.14	14.2	39.58	1.14	0.69	5.28	23.88	8.89
GoMo-C109	2006	2	43.5	74.04	7.12	16.3	41.05	1.29	0.85	6.63	29.4	9.84
GoMo-C109	2006	3	53.3	73.19	9.19	14.9	33.14	1.18	0.69	6.71	27.9	12.88
GoMo-C111	2006	1	90.8	87.2	5.13	10.4	25	1.67	1.05	3.71	27.93	7.98
GoMo-C111	2006	2	89.9	87.36	5.84	10.8	22.94	1.69	1.13	3.82	24.81	6.32
GoMo-C111	2006	3	94.8	80.68	7.25	11.6	25.12	1.9	1.14	5.17	27.81	6.55
GoMo-C112	2006	1	52.5	79.73	6.77	13.7	30.11	1.62	0.7	3.85	29.86	6.17
GoMo-C112	2006	2	61.6	79.79	6.2	12.8	32.2	1.73	0.74	4.33	29.4	6.24
GoMo-C112	2006	3	62.1	76.85	7.2	14.5	30.07	1.48	0.49	4.78	28.39	4.33
GoMo-C113	2006	1	50.9	75.8	6.1	12.8	26.29	1.5	0.72	5.06	23.71	9.18
GoMo-C113	2006	2	52.4	73.26	6.52	14.8	20.47	1.55	0.81	6.94	19.15	5.36
GoMo-C113	2006	3	59.8	70.71	6.57	15.7	18.5	1.87	0.66	7.41	18.63	7.29
GoMo-A002	2007	1	60.9	72.88	4.88	13.9	31.04	1.55	0.83	5.89	25.31	8.06
GoMo-A002	2007	2	51.4	69.92	7.39	15.1	29.07	1.62	0.85	7.26	22.79	12.23
GoMo-A002	2007	3	66.6	71.32	7.88	15	26.33	1.52	0.8	7.78	20.9	8.34
GoMo-A003	2007	1	70.1	66.06	3.18	12.9	21.99	1.62	0.73	5.71	17.35	7.23
GoMo-A003	2007	2	63.2	66.18	4.56	14.1	19.29	1.83	0.75	6.81	15.05	6.89
GoMo-A003	2007	3	71.5	67.61	4.63	15	17.73	1.86	0.77	7.27	13.97	7.12
GoMo-A004	2007	1	42.1	75.91	3.74	13.6	22.15	2.7	1.55	4.55	16.85	10.13
GoMo-A004	2007	2	60.3	75.56	4.64	14.1	19.65	2.35	1.32	6.35	14.04	10.43
GoMo-A004	2007	3	54.1	78.84	4.42	15.6	18.09	2.92	1.57	6.26	10.93	11.04
GoMo-A005	2007	1	45.3	76.02	8.05	11.1	32.68	1.6	0.98	3.85	24.71	11.05
GoMo-A005	2007	2	50.4	70.98	8.97	12.8	32	1.63	1	5.47	24.1	12.56
GoMo-A005	2007	3	59.4	71.11	9.33	13.7	30.92	1.78	0.97	5.79	22.61	10.06
GoMo-A006	2007	1	59.2	73.86	4.09	15.4	28.62	1.87	0.85	7.15	22.74	11.01
GoMo-A006	2007	2	70.3	73.89	6.2	15	23.97	1.71	0.82	7.88	19.24	9.78
GoMo-A006	2007	3	71.2	72.32	7.14	16.3	23.87	1.91	0.88	8.37	19.81	8.71
GoMo-A007	2007	1	53.8	72.9	3.4	12.1	24.06	1.62	0.85	5.45	17.76	11.6
GoMo-A007	2007	2	62.5	72.39	3.76	11.8	23.62	1.58	0.83	5.61	18.13	10.45
GoMo-A007	2007	3	59.5	70.82	5.55	13.9	23.4	1.87	0.95	7.02	17.8	10.44
GoMo-A008	2007	1	50.7	87.04	7.21	12.3	25.24	1.43	0.8	5.39	23.22	7.19
GoMo-A008	2007	2	47.3	86.35	8.11	12.7	22.64	1.48	0.88	5.95	20.99	7.18
GoMo-A008	2007	3	57.7	82.23	8.76	13	22.99	1.37	0.82	6.51	20.79	7.11
GoMo-A009	2007	1	47	70.44	3.3	15.6	23.04	2.03	1.05	6.1	21	8.09
GoMo-A009	2007	2	54.5	70.27	6.48	15	22.07	2.03	1.05	6.7	19.38	8.06
GoMo-A009	2007	3	56.6	69.57	7.51	15	21.44	1.85	1	7.2	19.64	7.15
GoMo-A010	2007	1	49.3	71.3	6.79	11.4	32.69	1.28	0.63	5.06	25.12	10.2
GoMo-A010	2007	2	54.8	69.76	7.66	12.1	32.5	1.2	0.6	5.52	25.98	11.06
GoMo-A010	2007	3	55.3	68.25	7.66	11.9	29.44	1.15	0.6	5.54	25.21	8.92
GoMo-A013	2007	1	62.3	77.54	6.47	10.7	24.79	1.57	0.67	4.79	20.89	7.74
GoMo-A013	2007	2	59.8	77.63	7.86	11.5	23.32	1.65	0.7	5.03	20.61	6.86
GoMo-A013	2007	3	65.4	75.39	8.14	11.7	21.61	1.48	0.63	5.76	18.48	11.97
GoMo-A014	2007	1	60	85.57	7.32	12.9	33.98	1.88	0.82	5.35	28.56	8.33
GoMo-A014	2007	2	58.4	85.81	8.35	14.3	32.27	2.09	0.85	6.59	28.37	8.04
GoMo-A014	2007	3	68.3	85.02	8.78	14.9	30.08	2.26	0.85	7.37	26.1	7.42
GoMo-A015	2007	1	54	80.24	4.03	16.8	22.19	2.21	0.97	8.33	17.35	11.54
GoMo-A015	2007	2	54.9	78.66	4.98	17.2	20.88	2.29	0.94	8.83	15.54	10.98
GoMo-A015	2007	3	55.2	75.74	7.14	17.5	19.49	2.27	0.94	9.21	15.76	8.86
GoMo-A016	2007	1	56.4	75.71	4.96	12.9	24.34	1.16	0.72	6.4	14.24	12.12
GoMo-A016	2007	2	65.5	74.54	6.07	13.8	24.04	1.26	0.75	6.83	15.07	11.1
GoMo-A016	2007	3	63.9	68.84	6.57	15.7	21.64	1.4	0.85	8.34	14.73	9.58
GoMo-A017	2007	1	74.9	69.98	7.6	13.3	26.28	1.63	0.59	6.92	21.36	9.17
GoMo-A017	2007	2	78.3	70.77	8.56	13.3	25.27	1.56	0.5	6.84	20.76	8.71
